CanIdentifier,Type,Brand,Brew,Brewery,City,State,Caption,Size,Faces,Type,Side,Brand,Brew,Brewery,City,State,Caption,AltView,Price,Size,Faces,Tax,MandatoriesChanged,CanAdded
1030080,F,ALPS BRAU,BEER,Grace Bros.,Santa Rosa,CA,Silver trim,12,2,F,F,ALPS BRAU,BEER,Grace Bros.,Santa Rosa,CA,Silver trim,,60,12,2,,,
1030090,F,ALPS BRAU BAVARIAN STYLE PREMIUM,BEER,Centlivre,Fort Wayne,IN,Gold Trim,12,2,F,F,ALPS BRAU BAVARIAN STYLE PREMIUM,BEER,Centlivre,Fort Wayne,IN,Gold Trim,,20,12,2,,,
1030100,F,ALPS BRAU BAVARIAN STYLE PREMIUM,BEER,Centlivre,Fort Wayne,IN,Silver Trim,12,2,F,F,ALPS BRAU BAVARIAN STYLE PREMIUM,BEER,Centlivre,Fort Wayne,IN,Silver Trim,,15,12,2,,,
1030103,F,ALPS BRAU BAVARIAN STYLE PREMIUM,BEER,Old Crown,Fort Wayne,IN,"No ""BREWED AND PACKED BY""",12,2,F,F,ALPS BRAU BAVARIAN STYLE PREMIUM,BEER,Old Crown,Fort Wayne,IN,"No ""BREWED AND PACKED BY""",,,12,2,,,Yes
1030105,F,ALPS BRAU BAVARIAN STYLE PREMIUM,BEER,Old Crown,Fort Wayne,IN,"""BREWED AND PACKED BY""",12,2,F,F,ALPS BRAU BAVARIAN STYLE PREMIUM,BEER,Old Crown,Fort Wayne,IN,"""BREWED AND PACKED BY""",,,12,2,,,Yes
1030110,F,ALPS BRAU BAVARIAN STYLE,BEER,Old Crown,Fort Wayne,IN,,12,2,F,F,ALPS BRAU BAVARIAN STYLE,BEER,Old Crown,Fort Wayne,IN,,,8,12,2,,,
1030120,F,ALT HEIDELBERG BRAND GUEST,BEER,Columbia,Tacoma,WA,,12,1,F,F,ALT HEIDELBERG BRAND GUEST,BEER,Columbia,Tacoma,WA,,,800,12,1,OT,,
1030130,F,ALT HEIDELBERG GUEST,BEER,Columbia,Tacoma,WA,"DNCMT 4%, red triangle in armpit",12,1,F,F,ALT HEIDELBERG GUEST,BEER,Columbia,Tacoma,WA,"DNCMT 4%, red triangle in armpit",,650,12,1,OT,,
1030140,F,ALT HEIDELBERG GUEST,BEER,Columbia,Tacoma,WA,"DNCMT 4%, no red triangle in armpit",12,1,F,F,ALT HEIDELBERG GUEST,BEER,Columbia,Tacoma,WA,"DNCMT 4%, no red triangle in armpit",,650,12,1,OT,,
1030150,F,ALT HEIDELBERG BRAND DU FEINE PREMIUM PALE EXPORT,BEER,Columbia,Tacoma,WA,,12,1,F,F,ALT HEIDELBERG BRAND DU FEINE PREMIUM PALE EXPORT,BEER,Columbia,Tacoma,WA,,,900,12,1,OT,,
1030155,F,ALT HEIDELBERG BRAND PREMIUM PALE EXPORT,BEER,Columbia,Tacoma,WA,"""LABORATORY CONTROL""",12,1,F,F,ALT HEIDELBERG BRAND PREMIUM PALE EXPORT,BEER,Columbia,Tacoma,WA,"""LABORATORY CONTROL""",,,12,1,OT,,Yes
1030160,F,ALT HEIDELBERG BRAND PREMIUM PALE EXPORT,BEER,Columbia,Tacoma,WA,"""AS A RESULT""",12,1,F,F,ALT HEIDELBERG BRAND PREMIUM PALE EXPORT,BEER,Columbia,Tacoma,WA,"""AS A RESULT""",,500,12,1,OT,,
1030165,F,ALT HEIDELBERG BRAND,BEER,Columbia,Tacoma,WA,"Red ""BEER"", ""...NOT OVER 4%..."" seam right",12,1,F,F,ALT HEIDELBERG BRAND,BEER,Columbia,Tacoma,WA,"Red ""BEER"", ""...NOT OVER 4%..."" seam right",,,12,1,T,,Yes
1030170,F,ALT HEIDELBERG BRAND,BEER,Columbia,Tacoma,WA,"Red ""BEER"", ""...NOT OVER 4%..."" in gold",12,1,F,F,ALT HEIDELBERG BRAND,BEER,Columbia,Tacoma,WA,"Red ""BEER"", ""...NOT OVER 4%..."" in gold",,45,12,1,,,
1030180,F,ALT HEIDELBERG BRAND,BEER,Columbia,Tacoma,WA,"Blue ""BEER""",12,1,F,F,ALT HEIDELBERG BRAND,BEER,Columbia,Tacoma,WA,"Blue ""BEER""",,30,12,1,,,
1030185,F,ALT HEIDELBERG BRAND,BEER,Columbia,Tacoma,WA,"Blue ""BEER"", ""...NOT OVER 4%..."" in gold",12,1,F,F,ALT HEIDELBERG BRAND,BEER,Columbia,Tacoma,WA,"Blue ""BEER"", ""...NOT OVER 4%..."" in gold",,,12,1,,,Yes
1030190,F,ALTA SPECIAL EXPORT,BEER,,,,,,,F,F,ALTA SPECIAL EXPORT,BEER,,,,,"Front of 20,21",,,,,,
1030200,F,ALTA SPECIAL EXPORT,BEER,Grace Bros LTD.,Los Angeles,CA,,12,1,F,S,ALTA SPECIAL EXPORT,BEER,Grace Bros LTD.,Los Angeles,CA,,,450,12,1,OT,,
1030210,F,ALTA SPECIAL EXPORT,BEER,Grace Bros LTD.,Los Angeles,CA,,12,1,F,S,ALTA SPECIAL EXPORT,BEER,Grace Bros LTD.,Los Angeles,CA,,,325,12,1,OT,,
